id,sp1,sp2,sp3,sp4,sp5,sp6,sp7,task,sound,total,order
3,6,6,10,12,10,8,8,verbal,changing,60,Spatial
4,1,7,8,4,9,8,6,verbal,changing,43,Verbal
5,3,6,7,8,8,11,9,verbal,changing,52,Spatial
6,2,4,10,7,9,12,13,verbal,changing,57,Verbal
7,2,2,0,2,3,1,0,verbal,changing,10,Spatial
8,0,0,2,1,4,4,4,verbal,changing,15,Verbal
9,3,2,6,6,6,6,6,verbal,changing,35,Spatial
10,0,2,3,7,6,6,3,verbal,changing,27,Verbal
11,1,3,5,6,7,5,4,verbal,changing,31,Spatial
12,3,4,7,8,7,7,6,verbal,changing,42,Verbal
13,0,0,1,2,2,2,2,verbal,changing,9,Spatial
14,3,6,5,6,11,14,12,verbal,changing,57,Verbal
15,0,2,4,4,6,7,6,verbal,changing,29,Spatial
16,1,3,1,5,7,7,6,verbal,changing,30,Verbal
17,3,7,8,9,7,7,7,verbal,changing,48,Spatial
18,1,5,6,9,14,10,10,verbal,changing,55,Verbal
19,5,6,6,11,11,13,10,verbal,changing,62,Spatial
20,2,10,11,15,14,15,14,verbal,changing,81,Spatial
21,2,6,5,11,11,12,10,verbal,changing,57,Verbal
22,5,8,10,10,11,12,6,verbal,changing,62,Verbal
23,1,6,7,9,7,10,10,verbal,changing,50,Spatial
24,3,4,6,8,9,9,9,verbal,changing,48,Spatial
25,2,0,2,7,9,7,10,verbal,changing,37,Verbal
26,0,0,6,7,8,7,4,verbal,changing,32,Verbal
27,1,5,6,8,9,10,10,verbal,changing,49,Verbal
28,1,3,3,6,10,9,8,verbal,changing,40,Spatial
29,4,4,6,6,7,6,5,verbal,changing,38,Verbal
30,1,5,2,6,5,6,5,verbal,changing,30,Spatial
31,1,2,3,6,7,11,9,verbal,changing,39,Verbal
32,4,3,4,4,5,6,7,verbal,changing,33,Spatial
33,1,4,5,8,9,10,10,verbal,changing,47,Spatial
34,3,7,11,10,13,12,12,verbal,changing,68,Verbal
35,4,4,8,13,13,12,10,verbal,changing,64,Spatial
36,1,6,7,10,10,10,8,verbal,changing,52,Verbal
37,0,1,3,8,9,10,8,verbal,changing,39,Spatial
38,1,1,3,8,8,9,8,verbal,changing,38,Verbal
39,3,3,9,10,10,14,10,verbal,changing,59,Verbal
40,1,2,6,12,11,14,10,verbal,changing,56,Verbal
41,2,3,6,8,12,12,11,verbal,changing,54,Spatial
42,13,12,13,15,13,13,10,verbal,changing,89,Spatial
43,4,5,5,8,10,9,8,verbal,changing,49,Verbal
44,14,11,12,14,15,13,12,verbal,changing,91,Spatial
45,0,2,2,4,4,7,4,verbal,changing,23,Verbal
46,2,4,9,10,11,9,8,verbal,changing,53,Spatial
47,1,1,3,6,11,13,9,verbal,changing,44,Verbal
48,5,2,5,4,8,5,9,verbal,changing,38,Verbal
