SCSSP1,SCSSP2,SCSSP3,SCSSP4,SCSSP5,SCSSP6,SCSSP7,SQSP1,SQSP2,SQSP3,SQSP4,SQSP5,SQSP6,SQSP7,SSSP1,SSSP2,SSSP3,SSSP4,SSSP5,SSSP6,SSSP7,VCSSP1,VCSSP2,VCSSP3,VCSSP4,VCSSP5,VCSSP6,VCSSP7,VQSP1,VQSP2,VQSP3,VQSP4,VQSP5,VQSP6,VQSP7,VSSSP1,VSSSP2,VSSSP3,VSSSP4,VSSSP5,VSSSP6,VSSSP7,SCSTotal,SQTotal,SSSTotal,VCSTotal,VQTotal,VSSTotal,Order,VAR00001,VAR00002
3,3,5,5,5,5,4,7,6,7,6,10,7,7,4,6,5,3,4,7,5,1,3,1,5,7,7,6,0,1,0,4,3,2,3,2,3,4,5,5,4,4,30,50,34,30,13,27,Verbal,-4,3
6,9,7,10,12,11,7,3,8,5,8,9,6,6,5,5,8,5,10,12,6,3,7,8,9,7,7,7,0,6,5,7,6,11,10,1,1,1,4,4,7,6,62,45,51,48,45,24,Spatial,11,24
2,3,3,3,4,4,5,2,3,5,4,6,4,4,1,2,0,2,5,6,3,1,5,6,9,14,10,10,2,5,7,9,10,11,9,2,3,3,4,11,9,5,24,28,19,55,53,37,Verbal,5,18
5,6,6,6,9,7,4,9,11,9,10,9,12,10,8,6,8,12,11,8,7,5,6,6,11,11,13,10,5,4,4,7,8,10,10,2,6,6,8,8,10,9,43,70,60,62,48,49,Spatial,-17,13
4,6,4,10,9,8,5,4,7,5,7,6,7,1,5,3,7,8,8,9,3,2,10,11,15,14,15,14,2,8,8,7,15,14,10,1,7,6,7,10,10,9,46,37,43,81,64,50,Spatial,3,31
1,2,6,7,7,8,7,2,2,3,5,12,13,7,2,4,7,8,13,11,8,2,6,5,11,11,12,10,5,9,5,9,9,7,7,2,3,9,10,9,11,9,38,44,53,57,51,53,Verbal,-15,4
2,10,11,11,11,11,8,6,10,8,11,12,9,5,5,9,12,9,9,10,9,5,8,10,10,11,12,6,1,5,5,9,10,8,7,1,4,5,8,10,11,6,64,61,63,62,45,45,Verbal,1,17
3,3,3,4,7,7,3,5,6,6,8,7,8,5,4,5,7,5,6,9,4,1,6,7,9,7,10,10,3,6,2,3,6,6,4,3,4,3,3,4,4,7,30,45,40,50,30,28,Spatial,-10,22
6,9,12,14,14,12,12,10,8,12,11,15,15,13,8,9,12,9,14,14,11,3,4,6,8,9,9,9,1,4,4,6,5,11,8,1,4,3,6,8,12,12,79,84,77,48,39,46,Spatial,2,2
5,6,9,6,11,10,8,4,5,6,8,11,10,6,6,8,9,8,9,10,7,2,0,2,7,9,7,10,2,6,6,8,11,10,7,1,1,6,3,5,8,9,55,50,57,37,50,33,Verbal,-2,4
3,3,3,5,6,7,2,5,7,7,9,10,4,2,6,6,7,6,6,6,4,0,0,6,7,8,7,4,2,2,3,5,5,4,1,2,5,6,6,6,9,8,29,44,41,32,22,42,Verbal,-12,-10
2,3,4,6,8,6,3,6,8,8,9,7,6,4,4,3,6,4,11,10,7,1,5,6,8,9,10,10,0,0,1,4,5,5,6,2,8,7,6,8,6,4,32,48,45,49,21,41,Verbal,-13,8
1,0,1,4,5,5,5,2,4,3,5,7,4,0,6,7,7,6,11,7,6,1,3,3,6,10,9,8,1,5,4,4,6,3,3,1,6,6,7,9,8,6,21,25,50,40,26,43,Spatial,-29,-3
0,1,2,6,8,6,3,1,3,5,7,6,9,8,3,2,2,4,3,7,4,4,4,6,6,7,6,5,0,2,6,6,9,7,6,1,2,5,3,4,5,2,26,39,25,38,36,22,Verbal,1,16
5,4,1,3,5,4,4,4,4,4,1,5,5,4,4,4,6,5,5,4,1,1,5,2,6,5,6,5,1,4,0,3,7,8,5,1,2,2,1,2,5,5,26,27,29,30,28,18,Spatial,-3,12
