id,sp1,sp2,sp3,sp4,sp5,sp6,sp7,task,sound,total
59,6,7,7,7,9,7,9,spatial,steady,52
60,2,2,2,4,3,5,4,spatial,steady,22
61,0,4,6,7,7,9,6,spatial,steady,39
62,4,5,3,8,8,9,6,spatial,steady,43
63,2,5,4,8,7,6,2,spatial,steady,34
64,3,3,2,4,5,4,2,spatial,steady,23
1,4,5,5,6,5,5,5,spatial,changing,35
2,5,7,5,5,7,4,2,spatial,changing,35
3,6,8,4,8,9,9,7,spatial,changing,51
4,2,1,4,6,8,6,2,spatial,changing,29
5,0,2,3,6,8,12,8,spatial,changing,39
6,0,4,8,11,11,14,14,spatial,changing,62
7,7,6,9,6,8,7,8,spatial,changing,51
8,13,11,15,13,11,10,9,spatial,changing,82
9,2,1,2,3,3,4,0,spatial,changing,15
10,0,0,1,1,1,1,0,spatial,changing,4
11,4,6,7,9,10,10,11,spatial,changing,57
12,1,2,1,1,4,3,3,spatial,changing,15
