SCSSP1,SCSSP2,SCSSP3,SCSSP4,SCSSP5,SCSSP6,SCSSP7,SQSP1,SQSP2,SQSP3,SQSP4,SQSP5,SQSP6,SQSP7,SSSP1,SSSP2,SSSP3,SSSP4,SSSP5,SSSP6,SSSP7,VCSSP1,VCSSP2,VCSSP3,VCSSP4,VCSSP5,VCSSP6,VCSSP7,VQSP1,VQSP2,VQSP3,VQSP4,VQSP5,VQSP6,VQSP7,VSSSP1,VSSSP2,VSSSP3,VSSSP4,VSSSP5,VSSSP6,VSSSP7,SCSTotal,SQTotal,SSSTotal,VCSTotal,VQTotal,VSSTotal,TaskModality,CS1,CS2,CS3,CS4,CS5,CS6,CS7,Q1,Q2,Q3,Q4,Q5,Q6,Q7,SS1,SS2,SS3,SS4,SS5,SS6,SS7,TOTALCS,TOTALQ,TOTALSS
4,6,7,9,10,10,11,5,6,8,10,12,9,10,5,4,6,9,8,10,8,1,2,3,3,3,4,0,0,0,0,0,0,0,0,2,3,3,2,2,1,3,57,60,50,16,0,16,spatial,4,6,7,9,10,10,11,5,6,8,10,12,9,10,5,4,6,9,8,10,8,57,60,50
1,2,1,1,4,3,3,0,0,0,1,1,1,1,0,0,1,0,0,1,0,3,4,10,10,8,10,6,2,3,8,8,10,10,10,3,2,6,8,4,5,6,15,4,2,51,51,34,spatial,1,2,1,1,4,3,3,0,0,0,1,1,1,1,0,0,1,0,0,1,0,15,4,2
11,13,10,13,10,11,8,11,8,12,10,13,11,12,10,8,13,10,11,13,14,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,76,77,79,4,2,3,spatial,11,13,10,13,10,11,8,11,8,12,10,13,11,12,10,8,13,10,11,13,14,76,77,79
4,5,4,8,9,8,7,6,5,4,6,4,4,4,5,4,6,8,11,9,6,0,1,4,4,2,1,0,0,0,0,0,0,4,4,0,2,1,3,1,3,3,45,33,49,12,8,13,spatial,4,5,4,8,9,8,7,6,5,4,6,4,4,4,5,4,6,8,11,9,6,45,33,49
6,8,6,4,6,8,11,5,9,8,8,10,9,5,4,7,7,7,9,9,8,3,3,11,11,10,11,10,3,3,6,9,11,13,13,4,6,5,8,9,14,12,49,54,51,59,58,58,spatial,6,8,6,4,6,8,11,5,9,8,8,10,9,5,4,7,7,7,9,9,8,49,54,51
5,5,4,6,7,8,6,4,5,8,9,13,12,11,1,2,5,5,11,10,7,2,2,3,2,5,4,1,0,0,1,1,1,2,2,2,3,1,2,1,0,0,41,62,41,19,7,9,spatial,5,5,4,6,7,8,6,4,5,8,9,13,12,11,1,2,5,5,11,10,7,41,62,41
7,9,5,9,10,10,8,11,11,12,9,12,10,6,3,4,3,6,8,6,2,2,1,1,6,7,4,1,1,2,3,4,5,4,5,1,3,5,6,8,8,5,58,71,32,22,24,36,spatial,7,9,5,9,10,10,8,11,11,12,9,12,10,6,3,4,3,6,8,6,2,58,71,32
10,11,13,10,15,14,14,8,9,11,14,13,10,11,10,11,11,14,16,16,13,5,9,10,14,12,14,12,8,8,8,9,6,12,10,8,7,12,12,12,13,12,87,76,91,76,61,76,spatial,10,11,13,10,15,14,14,8,9,11,14,13,10,11,10,11,11,14,16,16,13,87,76,91
1,2,1,7,7,8,8,3,4,4,6,6,6,5,2,1,7,7,8,7,6,3,3,8,9,7,7,5,0,0,2,2,2,3,3,1,0,5,6,6,5,1,34,34,38,42,12,24,spatial,1,2,1,7,7,8,8,3,4,4,6,6,6,5,2,1,7,7,8,7,6,34,34,38
9,11,10,13,10,13,13,8,10,11,13,12,15,12,9,10,11,12,14,12,15,15,14,16,14,15,12,11,6,8,10,8,8,10,9,13,12,14,10,13,13,13,79,81,83,97,59,88,spatial,9,11,10,13,10,13,13,8,10,11,13,12,15,12,9,10,11,12,14,12,15,79,81,83
9,8,8,9,13,12,10,3,6,6,8,6,7,7,8,8,9,9,9,12,10,5,7,7,12,12,9,8,2,3,4,4,5,7,3,2,5,4,4,8,8,8,69,43,65,60,28,39,spatial,9,8,8,9,13,12,10,3,6,6,8,6,7,7,8,8,9,9,9,12,10,69,43,65
2,5,6,6,9,7,4,3,3,4,6,5,7,6,0,1,2,4,7,7,4,3,5,2,1,2,2,1,3,3,0,4,3,1,1,3,0,0,2,3,2,0,39,34,25,16,15,10,spatial,2,5,6,6,9,7,4,3,3,4,6,5,7,6,0,1,2,4,7,7,4,39,34,25
14,15,15,16,14,13,12,11,14,14,15,11,13,14,14,14,15,13,13,15,14,1,3,5,7,10,10,9,4,5,6,7,10,9,10,1,2,6,6,7,5,5,99,92,98,45,51,32,spatial,14,15,15,16,14,13,12,11,14,14,15,11,13,14,14,14,15,13,13,15,14,99,92,98
0,0,3,6,9,11,10,0,3,4,6,13,11,8,0,0,2,4,11,12,7,5,8,12,10,12,14,12,1,3,4,7,11,13,15,5,8,7,10,11,11,11,39,45,36,73,54,63,spatial,0,0,3,6,9,11,10,0,3,4,6,13,11,8,0,0,2,4,11,12,7,39,45,36
2,1,1,1,5,6,4,0,0,3,3,4,5,2,3,2,4,4,2,6,4,1,1,2,2,4,5,3,2,2,2,2,5,3,2,1,2,4,3,4,3,3,20,17,25,18,18,20,spatial,2,1,1,1,5,6,4,0,0,3,3,4,5,2,3,2,4,4,2,6,4,20,17,25
2,0,2,2,0,2,3,0,2,2,5,8,8,4,0,0,0,1,3,4,1,0,1,2,4,6,6,5,0,0,0,0,2,4,3,0,1,3,6,4,4,3,11,29,9,24,9,21,spatial,2,0,2,2,0,2,3,0,2,2,5,8,8,4,0,0,0,1,3,4,1,11,29,9
2,4,6,6,9,6,2,4,4,4,4,4,3,1,2,3,2,4,6,7,5,0,0,4,1,3,2,2,0,0,1,1,1,3,2,0,1,3,3,5,4,1,35,24,29,12,8,17,spatial,2,4,6,6,9,6,2,4,4,4,4,4,3,1,2,3,2,4,6,7,5,35,24,29
4,8,8,9,9,8,4,4,3,7,9,9,6,6,3,7,6,8,8,4,4,0,4,5,5,6,7,4,2,5,4,5,5,7,5,0,1,3,4,2,6,5,50,44,40,31,33,21,spatial,4,8,8,9,9,8,4,4,3,7,9,9,6,6,3,7,6,8,8,4,4,50,44,40
7,11,7,9,5,7,4,4,5,5,5,5,4,2,2,1,1,2,3,3,1,0,2,4,2,5,6,4,0,2,4,3,3,5,3,0,1,3,3,2,3,1,50,30,13,23,20,13,spatial,7,11,7,9,5,7,4,4,5,5,5,5,4,2,2,1,1,2,3,3,1,50,30,13
7,7,10,8,13,13,11,9,11,11,13,13,13,14,6,12,10,12,13,13,12,0,1,1,1,4,6,5,0,0,0,3,3,3,4,2,2,3,1,0,1,1,69,84,78,18,13,10,spatial,7,7,10,8,13,13,11,9,11,11,13,13,13,14,6,12,10,12,13,13,12,69,84,78
5,6,8,5,4,6,3,1,3,1,0,3,5,5,1,2,3,7,8,7,5,6,6,9,7,9,13,11,2,4,7,6,10,9,8,7,10,8,8,7,10,8,37,18,33,61,46,58,spatial,5,6,8,5,4,6,3,1,3,1,0,3,5,5,1,2,3,7,8,7,5,37,18,33
2,6,6,4,5,5,4,4,6,6,8,8,7,4,2,5,5,6,9,9,7,3,3,6,6,3,4,4,0,1,2,1,3,4,3,0,2,2,2,2,4,5,32,43,43,29,14,17,spatial,2,6,6,4,5,5,4,4,6,6,8,8,7,4,2,5,5,6,9,9,7,32,43,43
3,2,3,8,8,9,8,5,7,10,13,11,9,8,2,2,5,7,9,12,11,1,2,5,6,2,4,4,1,3,5,7,5,3,2,2,3,6,4,5,5,3,41,63,48,24,26,28,spatial,3,2,3,8,8,9,8,5,7,10,13,11,9,8,2,2,5,7,9,12,11,41,63,48
5,7,9,8,6,8,4,5,4,7,5,3,6,6,4,6,7,5,8,6,5,2,10,9,11,10,8,7,6,8,12,13,8,11,8,8,11,16,12,11,13,10,47,36,41,57,66,81,spatial,5,7,9,8,6,8,4,5,4,7,5,3,6,6,4,6,7,5,8,6,5,47,36,41
7,7,11,10,10,10,10,2,5,5,6,9,9,7,2,5,7,10,7,7,6,1,1,4,1,4,1,4,0,0,0,1,3,2,0,0,2,2,2,3,2,3,65,43,44,16,6,14,spatial,7,7,11,10,10,10,10,2,5,5,6,9,9,7,2,5,7,10,7,7,6,65,43,44
0,0,2,1,2,3,2,1,1,2,1,2,3,2,0,1,2,1,2,2,3,1,1,2,1,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,10,12,11,9,2,2,spatial,0,0,2,1,2,3,2,1,1,2,1,2,3,2,0,1,2,1,2,2,3,10,12,11
6,8,7,4,6,8,4,9,6,9,10,12,13,7,8,6,7,8,9,8,4,8,11,9,10,10,11,9,6,7,10,9,11,9,6,6,8,8,6,9,12,9,43,66,50,68,58,58,spatial,6,8,7,4,6,8,4,9,6,9,10,12,13,7,8,6,7,8,9,8,4,43,66,50
